Date,Channel,Campaign,Spend (TL),Impressions,Clicks,Acquired_Customers,Revenue (TL),Product_Cost (TL),ROI (%),CAC (TL)
2025-04-21,Organic,New Product,863.11,97132,187,65,11224.5,288.62,1167.03,13.28
2024-12-27,Organic,Summer Sale,4237.61,28003,2848,99,12318.18,2207.86,138.59,42.8
2024-09-22,Facebook,Holiday Discount,4071.39,17551,2980,55,18610.79,319.39,349.27,74.03
2024-12-19,Twitter,New Product,2408.59,24826,3970,24,13145.19,886.04,408.98,100.36
2025-02-01,Google Ads,Brand Awareness,4271.01,25729,4232,25,12984.77,3644.82,118.68,170.84
2024-09-13,Twitter,Black Friday,1273.37,52696,1883,53,15213.47,2412.31,905.3,24.03
2024-07-28,Affiliate,Summer Sale,136.95,4868,2189,76,17345.75,2422.66,10796.74,1.8
2024-09-04,Google Ads,New Product,3115.08,42274,257,11,5312.06,2999.13,-25.75,283.19
2025-04-06,Organic,New Product,2316.65,39718,2283,94,12373.3,3946.82,263.74,24.65
2024-10-06,Google Ads,Summer Sale,2857.46,33353,1900,60,11721.1,809.76,281.85,47.62
2024-10-20,Facebook,Brand Awareness,4501.73,42682,1737,77,2783.5,881.78,-57.76,58.46
2024-09-21,Instagram,Brand Awareness,4851.13,31653,2253,47,10454.31,624.59,102.63,103.22
2024-07-21,Instagram,Holiday Discount,3190.54,15141,2258,25,1484.06,4685.41,-200.34,127.62
2025-02-07,Twitter,Brand Awareness,3832.08,12537,900,25,3780.7,2894.91,-76.88,153.28
2024-09-17,Email,Holiday Discount,464.85,31401,2253,17,18267.97,481.35,3726.31,27.34
2024-07-31,Instagram,New Product,845.54,28387,3740,12,2472.94,1118.81,60.15,70.46
2024-11-04,Organic,Summer Sale,3679.36,82690,3405,52,11620.43,3633.44,117.08,70.76
2024-10-13,Affiliate,Brand Awareness,2185.26,7630,2659,11,6537.27,164.38,191.63,198.66
2024-06-23,Google Ads,Holiday Discount,2257.53,44461,273,10,11150.73,3633.76,232.97,225.75
2025-03-25,Affiliate,New Product,1577.61,81314,3824,81,4775.97,4559.09,-86.25,19.48
2025-03-16,Google Ads,Brand Awareness,3056.41,45293,1461,60,8943.15,300.78,182.76,50.94
2025-02-16,Organic,Black Friday,966.57,24070,4442,54,17359.94,948.37,1597.92,17.9
2024-11-19,Facebook,New Product,3153.24,14416,372,80,7586.72,31.85,139.59,39.42
2024-09-20,Google Ads,Brand Awareness,910.3,91935,1561,63,7125.32,562.97,620.9,14.45
2024-10-16,Facebook,New Product,365.94,9629,2136,20,8977.75,3092.62,1508.22,18.3
2024-08-09,Email,Summer Sale,1685.27,64444,4650,5,2099.81,243.19,10.17,337.05
2024-07-28,Facebook,Summer Sale,1194.14,9360,2337,41,7808.21,2140.66,374.61,29.13
2025-02-21,Google Ads,Summer Sale,4450.51,13011,736,63,237.31,2526.94,-151.45,70.64
2024-06-26,Instagram,Black Friday,322.02,41721,2067,56,10117.6,4535.01,1633.62,5.75
2024-08-17,Twitter,Summer Sale,924.24,37069,1518,32,16974.03,2381.97,1478.82,28.88
2024-06-29,Facebook,Black Friday,2766.16,54270,3973,27,11086.25,729.88,274.4,102.45
2024-06-17,Google Ads,Summer Sale,2431.28,12227,4885,68,12193.73,1460.68,341.46,35.75
2024-07-26,Facebook,New Product,276.97,40587,1046,48,708.21,3367.53,-1060.15,5.77
2024-09-23,Google Ads,Brand Awareness,85.9,62720,2584,7,17204.35,578.34,19255.08,12.27
2024-12-15,Organic,Brand Awareness,4940.94,45550,2862,46,7761.57,1174.08,33.32,107.41
2024-06-29,Organic,Summer Sale,3311.23,69305,672,78,19499.57,4978.97,338.53,42.45
2025-04-30,Instagram,Brand Awareness,1858.76,77028,3874,88,2497.26,47.56,31.79,21.12
2024-09-25,Facebook,Summer Sale,2378.64,54651,2833,18,18898.97,777.87,661.83,132.15
2025-02-13,Organic,Summer Sale,1369.42,52332,4443,38,12722.39,4221.56,520.76,36.04
2025-04-09,Instagram,Holiday Discount,1757.13,69881,1125,65,1141.57,524.88,-64.9,27.03
2025-03-10,Organic,Holiday Discount,3262.77,69201,353,17,19436.81,187.53,489.97,191.93
2025-01-17,Email,Holiday Discount,4419.92,25807,713,90,376.07,624.14,-105.61,49.11
2024-08-18,Organic,Black Friday,961.44,44552,2996,86,14640.93,3474.11,1061.47,11.18
2025-01-12,Instagram,Holiday Discount,4209.79,78902,4044,82,17801.65,4965.69,204.91,51.34
2024-11-27,Facebook,Summer Sale,651.71,75861,2042,38,3598.65,2961.37,-2.21,17.15
2024-07-04,Affiliate,New Product,1114.21,71976,3545,92,6932.81,639.1,464.86,12.11
2024-08-30,Instagram,Holiday Discount,234.02,94758,2744,85,11268.46,935.22,4315.54,2.75
2024-06-24,Email,Holiday Discount,747.02,58300,4354,63,13628.2,2697.66,1363.22,11.86
2025-03-22,Google Ads,New Product,4590.65,27951,3248,97,17450.33,3583.98,202.06,47.33
2025-04-26,Email,Summer Sale,2324.22,21264,568,94,15245.3,3321.3,413.03,24.73
2024-09-10,Instagram,Black Friday,434.45,20121,4483,42,7330.29,2882.14,923.86,10.34
2025-04-07,Google Ads,Holiday Discount,4800.65,85351,1919,8,16452.22,4931.62,139.98,600.08
2024-11-06,Google Ads,New Product,4401.01,51539,3860,30,19324.93,1006.21,316.24,146.7
2025-01-24,Email,Summer Sale,3785.68,31311,962,64,4617.03,881.06,-1.31,59.15
2024-10-07,Organic,Brand Awareness,4670.69,43397,3984,9,1574.5,4298.12,-158.31,518.97
2025-04-17,Instagram,Black Friday,1139.64,20749,4952,97,8589.73,1468.29,524.89,11.75
2024-10-02,Google Ads,New Product,4190.03,30218,3238,57,17639.8,1675.98,281.0,73.51
2025-02-08,Email,New Product,3465.46,82069,1365,59,3090.8,2752.37,-90.23,58.74
2024-09-23,Google Ads,New Product,4355.31,52591,3278,93,17727.38,1918.75,262.97,46.83
2024-12-30,Facebook,Holiday Discount,3994.71,45133,621,95,19845.04,1452.45,360.42,42.05
2024-11-28,Google Ads,Brand Awareness,1765.15,45867,3305,67,1174.64,4587.53,-293.35,26.35
2024-06-28,Google Ads,Black Friday,3883.27,2316,2521,75,9955.6,663.79,139.28,51.78
2025-02-24,Google Ads,Summer Sale,1349.16,38972,147,5,6644.82,2033.36,241.8,269.83
2025-05-22,Facebook,Summer Sale,1676.53,87924,4083,95,7934.23,34.78,371.18,17.65
2024-06-04,Google Ads,Brand Awareness,584.13,80048,1689,84,9087.53,4041.12,763.92,6.95
2024-11-27,Facebook,New Product,4678.63,67220,4892,4,14820.11,858.73,198.41,1169.66
2024-08-22,Instagram,New Product,1490.47,93700,4077,8,11866.86,3869.49,436.57,186.31
2024-11-16,Instagram,New Product,2627.08,78271,310,42,19227.9,760.04,602.98,62.55
2024-06-12,Facebook,New Product,1987.1,43635,985,35,6722.02,2095.36,132.83,56.77
2024-11-16,Organic,New Product,4801.64,52265,1847,13,10875.93,3646.36,50.56,369.36
2024-12-26,Google Ads,Brand Awareness,1708.49,51109,381,5,16285.24,1368.63,773.09,341.7
2025-02-26,Instagram,Holiday Discount,3903.8,49797,4260,40,7523.27,1583.31,52.16,97.6
2024-12-21,Google Ads,Black Friday,4284.31,9079,317,19,9359.45,3343.27,40.42,225.49
2025-03-30,Google Ads,New Product,2206.25,61887,2109,82,13730.99,954.75,479.09,26.91
2025-01-28,Instagram,Holiday Discount,1921.95,23412,122,97,17228.81,4759.89,548.76,19.81
2025-04-09,Instagram,Summer Sale,3751.34,36862,2971,4,8372.06,960.16,97.58,937.84
2024-08-26,Twitter,Brand Awareness,4568.84,85727,2503,59,10685.81,3754.98,51.7,77.44
2025-05-25,Instagram,Holiday Discount,3786.91,15821,3938,18,19504.93,4016.94,308.99,210.38
2025-02-27,Affiliate,New Product,1174.28,74118,227,24,945.14,1884.36,-179.98,48.93
2024-12-11,Google Ads,New Product,4447.12,75548,2049,93,9019.75,798.07,84.88,47.82
2024-07-17,Google Ads,New Product,1968.53,34655,821,31,12756.04,846.2,505.01,63.5
2025-05-08,Google Ads,Holiday Discount,2902.34,45688,995,58,267.71,4927.54,-260.55,50.04
2024-07-08,Google Ads,New Product,4165.61,55576,4545,28,11976.05,3632.54,100.3,148.77
2025-05-29,Instagram,Holiday Discount,982.55,81066,319,9,1218.38,2261.24,-206.14,109.17
2025-01-17,Email,New Product,3933.33,86913,1905,45,17165.41,1301.6,303.32,87.41
2024-10-09,Google Ads,Summer Sale,3001.01,53236,1705,90,16161.01,114.17,434.71,33.34
2025-05-18,Twitter,Summer Sale,4472.04,46221,3802,49,741.88,3358.91,-158.52,91.27
2024-06-18,Organic,Black Friday,901.25,88189,2583,2,1071.2,4785.44,-512.12,450.62
2025-04-14,Facebook,New Product,2132.38,86916,4204,6,15096.92,552.08,582.09,355.4
2025-04-26,Google Ads,New Product,4172.57,67092,2739,29,7453.94,3777.37,-11.89,143.88
2025-03-13,Google Ads,Holiday Discount,145.2,55445,4411,26,11543.01,783.12,7310.39,5.58
2024-10-24,Google Ads,Holiday Discount,605.4,93326,2172,28,5479.53,3964.68,150.22,21.62
2024-08-02,Google Ads,New Product,4953.3,9900,3211,7,3542.08,1865.45,-66.15,707.61
2025-03-18,Instagram,Black Friday,1437.95,34485,554,34,5991.93,3566.07,68.7,42.29
2024-08-21,Google Ads,New Product,4878.94,14891,2454,56,5009.6,4632.89,-92.28,87.12
2024-09-23,Facebook,Holiday Discount,953.53,16014,2251,10,9021.32,3108.29,520.12,95.35
2025-04-13,Affiliate,New Product,1837.42,73083,3339,57,14958.86,4605.08,463.5,32.24
2025-01-29,Email,Holiday Discount,3776.7,38964,4631,47,11127.18,1190.42,163.11,80.36
2024-10-28,Twitter,New Product,3306.0,52171,1203,86,12222.65,4891.11,121.76,38.44
2024-10-03,Google Ads,Brand Awareness,2926.56,96468,4211,27,9454.56,4366.78,73.85,108.39
2025-04-04,Facebook,Holiday Discount,2673.0,45739,2477,39,6562.2,555.72,124.71,68.54
2024-06-14,Instagram,Black Friday,4225.03,86799,1386,22,2955.83,2079.43,-79.26,192.05
2025-02-12,Google Ads,Brand Awareness,1213.0,85856,456,19,7155.85,4636.61,107.69,63.84
2024-07-15,Google Ads,New Product,2240.23,44374,3528,9,13337.45,409.01,477.1,248.91
2025-04-12,Email,Holiday Discount,819.49,40459,4094,19,14702.17,2279.74,1415.87,43.13
2025-03-30,Email,Brand Awareness,2999.91,8045,326,2,9436.71,3623.5,93.78,1499.96
2024-06-27,Facebook,Black Friday,1290.19,44255,3530,92,12935.45,186.57,888.14,14.02
2025-05-04,Instagram,Holiday Discount,1702.52,52965,2411,61,4289.77,3769.1,-69.42,27.91
2024-08-11,Facebook,Brand Awareness,2382.69,2237,2646,59,17215.32,1818.79,546.18,40.38
2024-09-15,Google Ads,Brand Awareness,182.51,53195,2018,86,17332.14,1261.87,8705.14,2.12
2025-05-22,Facebook,Brand Awareness,505.09,37326,510,70,6474.53,2888.34,610.01,7.22
2025-02-06,Google Ads,Summer Sale,3445.35,6293,2496,71,10999.47,2730.77,140.0,48.53
2024-06-09,Google Ads,New Product,2173.4,26274,3789,70,12172.57,4372.22,258.9,31.05
2024-09-19,Affiliate,Holiday Discount,4330.71,20237,1632,33,9501.36,3386.49,41.2,131.23
2024-12-01,Instagram,Holiday Discount,3488.63,94920,3567,78,18231.73,2120.88,361.81,44.73
2024-11-04,Organic,Holiday Discount,90.1,97529,4852,65,14820.37,3257.69,12733.16,1.39
2024-07-31,Facebook,Brand Awareness,3102.73,79347,4248,25,13482.96,3755.74,213.51,124.11
2025-01-23,Facebook,New Product,513.94,19229,2425,70,10449.86,4687.9,1021.13,7.34
2025-04-04,Google Ads,Black Friday,3915.62,79847,2789,28,1788.46,3527.22,-144.41,139.84
2024-10-28,Google Ads,Holiday Discount,4957.96,89576,1021,18,2245.65,2728.48,-109.74,275.44
2025-05-16,Google Ads,New Product,2679.43,57718,1375,63,6050.28,1877.44,55.74,42.53
2025-05-02,Organic,New Product,3429.76,69718,202,91,4309.29,4459.59,-104.38,37.69
2025-03-13,Email,Summer Sale,1224.71,50615,3658,49,19055.37,3966.75,1132.02,24.99
2024-10-26,Instagram,Holiday Discount,2216.11,72296,4010,66,8255.27,404.36,254.27,33.58
2024-12-27,Instagram,Brand Awareness,4287.67,73796,3156,40,17544.45,3503.72,227.47,107.19
2025-05-16,Twitter,New Product,878.74,99754,3136,85,16379.79,2702.97,1456.41,10.34
2024-11-24,Google Ads,New Product,1364.4,2915,779,87,16270.15,536.15,1053.18,15.68
2024-07-22,Facebook,Black Friday,2254.9,75651,4017,66,4392.58,2833.51,-30.86,34.17
2025-05-23,Facebook,Summer Sale,3575.63,53774,4219,80,9001.7,978.68,124.38,44.7
2025-05-27,Organic,New Product,1910.63,8076,4052,4,6427.24,3546.56,50.77,477.66
2025-02-08,Affiliate,New Product,4642.27,81350,2382,34,19411.18,1406.74,287.84,136.54
2024-10-04,Google Ads,Brand Awareness,517.56,34083,1623,5,17547.21,768.71,3141.85,103.51
2024-06-01,Twitter,Brand Awareness,1885.48,54918,3318,98,5073.48,428.23,146.37,19.24
2024-10-03,Organic,Black Friday,3559.32,5793,4425,22,6339.06,2464.18,8.87,161.79
2024-08-29,Google Ads,Black Friday,1168.63,51528,4932,20,10625.29,1014.18,722.43,58.43
2024-08-09,Facebook,Black Friday,3299.25,67798,735,47,5644.26,4278.54,-58.61,70.2
2024-10-15,Facebook,Brand Awareness,862.87,10319,3938,77,16508.15,34.95,1809.12,11.21
2025-05-15,Affiliate,Brand Awareness,327.1,14194,1629,34,16402.7,4221.32,3624.05,9.62
2024-11-19,Google Ads,Summer Sale,649.03,20309,1018,44,14514.37,2615.04,1733.4,14.75
2025-01-31,Organic,Holiday Discount,4653.42,59396,3787,6,13817.27,4612.28,97.81,775.57
2025-05-02,Facebook,Holiday Discount,2781.17,95296,2083,56,10991.3,1038.96,257.85,49.66
2024-11-09,Organic,Summer Sale,3991.91,27998,817,29,7007.53,529.32,62.28,137.65
2025-04-21,Facebook,Holiday Discount,1696.64,4468,695,97,16755.08,3132.29,702.93,17.49
2024-08-30,Instagram,Brand Awareness,2983.66,13651,4171,53,17190.76,3539.5,357.53,56.3
2024-10-11,Organic,Holiday Discount,2500.01,21405,1129,1,1085.24,1875.47,-131.61,2500.01
2025-03-05,Organic,Brand Awareness,4731.4,15482,686,59,8032.53,88.13,67.91,80.19
2025-01-24,Twitter,Summer Sale,3750.49,5409,4375,48,629.89,2046.67,-137.78,78.14
2024-08-03,Google Ads,Black Friday,3666.19,67083,2150,7,16805.6,1184.26,326.09,523.74
2025-05-05,Email,Summer Sale,279.45,86443,150,86,3624.16,1750.4,570.52,3.25
2025-01-05,Google Ads,Holiday Discount,2770.86,24426,3967,32,13509.95,2543.64,295.77,86.59
2025-05-17,Facebook,Brand Awareness,2361.61,55757,4949,78,7211.78,3517.66,56.42,30.28
2024-10-30,Instagram,Holiday Discount,4642.82,15436,918,61,16339.7,4816.86,148.19,76.11
2025-05-05,Facebook,Holiday Discount,1323.84,17490,4147,57,10242.77,737.12,618.04,23.23
2025-03-23,Instagram,Black Friday,1385.68,53136,71,51,6555.6,3405.9,127.3,27.17
2025-03-24,Affiliate,Holiday Discount,2086.16,29962,2675,88,6545.03,1181.39,157.11,23.71
2024-10-09,Google Ads,Black Friday,1254.68,30288,1953,19,6605.85,1119.11,337.3,66.04
2025-02-10,Email,Brand Awareness,689.46,23236,2626,27,15792.73,3175.1,1730.07,25.54
2025-01-04,Facebook,Brand Awareness,4294.2,15923,4159,63,14251.2,3884.48,141.41,68.16
2025-02-08,Google Ads,Black Friday,2813.47,67786,4664,60,6452.36,4889.38,-44.45,46.89
2024-10-14,Google Ads,Summer Sale,4313.75,56891,3343,61,9855.14,3848.78,39.24,70.72
2025-02-08,Twitter,Brand Awareness,4164.12,14264,1985,61,1615.45,803.43,-80.5,68.26
2025-04-26,Twitter,Summer Sale,1446.11,68147,665,87,16567.26,1142.51,966.64,16.62
2025-02-08,Twitter,Brand Awareness,2761.3,8928,2500,45,5392.5,3811.72,-42.75,61.36
2024-09-08,Affiliate,Brand Awareness,461.93,35558,3634,21,17795.58,2644.4,3179.97,22.0
2024-10-06,Google Ads,New Product,4580.5,57369,336,44,11976.25,1491.13,128.91,104.1
2025-03-08,Facebook,Holiday Discount,2051.1,67403,3368,93,11399.62,2369.48,340.26,22.05
2025-04-18,Email,Holiday Discount,1998.7,98225,1973,1,3338.1,4576.14,-161.94,1998.7
2025-02-18,Instagram,Summer Sale,1548.64,46213,4971,95,1483.75,3782.88,-248.46,16.3
2025-05-24,Facebook,Holiday Discount,2330.29,99631,2823,91,11097.07,2264.47,279.03,25.61
2024-12-01,Facebook,Summer Sale,1296.21,4816,2140,44,9412.98,4903.16,247.92,29.46
2024-08-21,Instagram,Brand Awareness,1905.52,99162,2851,62,2481.69,3978.48,-178.55,30.73
2024-07-14,Instagram,New Product,4009.74,36916,1042,61,16728.2,49.24,315.96,65.73
2024-10-16,Google Ads,New Product,4179.56,48838,1634,91,8403.08,579.59,87.18,45.93
2024-07-19,Instagram,Brand Awareness,1555.7,12573,1953,79,5283.11,2778.76,60.98,19.69
2024-10-13,Instagram,Black Friday,2371.62,44334,925,89,15786.61,1762.77,491.32,26.65
2024-08-14,Instagram,Black Friday,4375.41,85475,4879,79,18269.98,4066.54,224.62,55.38
2024-12-31,Google Ads,Holiday Discount,310.73,66364,1935,83,6188.66,4480.52,449.72,3.74
2024-08-26,Organic,Summer Sale,4451.27,14157,193,50,15541.4,1218.44,221.77,89.03
2024-11-13,Google Ads,New Product,1134.96,10322,2306,75,13085.14,3821.16,716.24,15.13
2025-03-21,Facebook,Holiday Discount,3408.77,3482,1172,41,19795.58,2686.28,401.92,83.14
2025-02-07,Organic,Brand Awareness,2933.63,36867,749,33,4159.45,1972.0,-25.44,88.9
2025-05-26,Instagram,New Product,2787.06,80211,4259,87,19217.51,3938.16,448.22,32.04
2024-06-14,Facebook,Summer Sale,4303.83,96956,320,12,6373.91,2833.32,-17.73,358.65
2024-07-03,Email,Summer Sale,552.78,78271,112,2,8297.89,3183.71,825.17,276.39
2024-07-16,Instagram,Black Friday,1767.79,80386,1057,21,7240.63,330.03,290.92,84.18
2024-06-14,Organic,Holiday Discount,2714.35,7732,2893,14,5442.17,2937.68,-7.73,193.88
2025-02-24,Organic,Brand Awareness,4065.88,41753,2322,34,13895.13,1517.54,204.43,119.58
2024-12-29,Email,New Product,1121.39,35422,2032,79,11823.99,2476.61,733.55,14.19
2024-07-23,Instagram,Summer Sale,4024.5,99267,2478,85,6183.27,1125.62,25.67,47.35
2025-01-13,Google Ads,New Product,2028.21,77964,3774,64,2731.03,3080.09,-117.21,31.69
2024-09-25,Facebook,Brand Awareness,985.12,57284,4463,23,6415.78,754.39,474.69,42.83
2024-09-29,Facebook,New Product,3806.98,12311,2805,85,7686.5,632.06,85.3,44.79
2025-04-29,Instagram,Holiday Discount,499.95,70269,3784,50,7675.0,958.29,1243.48,10.0
2025-04-20,Instagram,Black Friday,2598.1,40579,1342,14,7209.46,4090.97,20.03,185.58
2024-10-13,Facebook,New Product,366.19,74878,4559,85,1069.58,187.0,141.02,4.31
2025-04-24,Google Ads,Black Friday,1814.27,77000,4370,76,9334.26,3653.29,213.13,23.87
2024-10-19,Instagram,Brand Awareness,3025.33,49514,1227,46,16740.54,301.41,443.38,65.77
2025-05-24,Facebook,Black Friday,2802.77,46311,4766,5,3689.29,2967.45,-74.25,560.55
2024-07-12,Organic,New Product,2053.04,11300,2670,66,2998.58,3872.32,-142.56,31.11
2024-10-22,Google Ads,New Product,2173.79,66375,2586,22,9489.84,1170.74,282.7,98.81
2025-03-16,Instagram,Summer Sale,1172.51,35563,2018,70,7475.0,995.82,452.59,16.75
2025-05-26,Twitter,New Product,2306.62,49960,1245,2,11269.48,1460.11,325.27,1153.31
2024-06-29,Google Ads,Black Friday,4768.61,80244,2881,29,18946.78,3504.07,223.84,164.43
2025-01-16,Instagram,Summer Sale,4259.74,29090,557,61,15241.64,1289.04,227.55,69.83
2025-02-01,Google Ads,New Product,768.9,17328,454,71,13772.46,2518.81,1363.6,10.83
2025-02-25,Email,New Product,197.41,27654,1344,16,8377.15,689.64,3794.18,12.34
2025-03-29,Instagram,Brand Awareness,4670.95,7214,3675,64,5818.46,2316.75,-25.03,72.98
2024-11-17,Facebook,Summer Sale,2657.41,58740,2869,97,10851.26,3131.15,190.51,27.4
2024-06-29,Instagram,Brand Awareness,2712.3,65949,4809,97,17720.33,377.66,539.41,27.96
2024-11-08,Twitter,Brand Awareness,3914.55,39913,3687,14,17547.18,4080.81,244.01,279.61
2025-05-04,Google Ads,Brand Awareness,1607.71,28552,1923,43,8965.75,4688.43,166.05,37.39
2024-12-08,Google Ads,Holiday Discount,2435.44,36377,1456,76,4999.79,983.87,64.9,32.05
2024-08-03,Twitter,Brand Awareness,4844.88,26734,3633,43,4584.35,3801.98,-83.85,112.67
2025-01-17,Instagram,Black Friday,3377.14,91257,1627,70,776.37,1581.06,-123.83,48.24
2024-07-08,Twitter,New Product,811.04,19610,4426,55,16869.02,3390.09,1561.93,14.75
2025-02-01,Instagram,Holiday Discount,709.47,58607,3477,76,5370.28,1547.25,438.86,9.34
2024-07-10,Organic,Brand Awareness,1061.11,80158,686,31,7244.08,4314.47,176.09,34.23
2024-08-28,Facebook,New Product,3845.22,29875,857,76,16203.4,1748.6,275.92,50.6
2024-10-30,Organic,Summer Sale,1512.12,56082,2445,74,2488.48,4247.18,-216.31,20.43
2024-10-17,Twitter,Summer Sale,155.87,24226,4574,40,9278.56,3835.39,3392.12,3.9
2025-05-10,Instagram,New Product,4723.66,28677,1465,27,2534.59,997.69,-67.46,174.95
2025-02-06,Google Ads,Black Friday,890.08,11298,2499,52,8892.79,801.63,809.04,17.12
2025-01-10,Facebook,New Product,97.31,36848,4810,7,1038.08,3902.69,-3043.8,13.9
2025-04-13,Google Ads,New Product,1223.8,64654,4895,46,10400.69,1963.71,589.41,26.6
2025-05-29,Google Ads,Holiday Discount,1213.39,18744,3546,33,15934.62,4747.98,821.93,36.77
2025-03-01,Facebook,Summer Sale,2138.93,24434,3638,91,13558.3,4715.88,313.4,23.5
2025-01-08,Instagram,Summer Sale,4605.93,49001,4079,8,10232.46,3473.53,46.74,575.74
2024-07-14,Instagram,Brand Awareness,4401.97,68262,4782,5,16592.3,2512.89,219.84,880.39
2025-04-22,Facebook,New Product,2311.63,60633,564,61,4632.98,990.94,57.55,37.9
2024-08-10,Email,New Product,2083.95,49917,3344,72,16632.85,4414.32,486.32,28.94
2025-01-11,Google Ads,Black Friday,2797.29,80804,2958,60,5599.63,428.35,84.87,46.62
2024-06-08,Google Ads,Summer Sale,1255.1,47745,2548,85,7313.48,1864.35,334.16,14.77
2024-07-01,Google Ads,Black Friday,308.32,1907,1416,24,2655.76,1609.71,239.27,12.85
2024-09-13,Instagram,Holiday Discount,4699.16,92295,390,7,2124.92,4792.98,-156.78,671.31
2024-12-20,Google Ads,Brand Awareness,974.16,59602,4022,61,18649.02,608.22,1751.93,15.97
2024-12-03,Facebook,Black Friday,1032.08,14764,1610,83,3880.57,4452.95,-155.46,12.43
2025-05-20,Facebook,Summer Sale,2388.68,25409,2518,95,6732.59,2293.04,85.86,25.14
2024-09-11,Organic,Holiday Discount,2483.49,9390,2478,36,10630.12,256.54,317.7,68.99
2025-01-12,Google Ads,New Product,141.25,31172,3738,27,7022.56,3649.75,2287.83,5.23
2024-12-09,Email,Holiday Discount,782.38,41542,2745,29,17415.65,522.38,2059.22,26.98
2025-05-17,Email,Black Friday,1921.87,48324,2077,87,18024.22,1200.28,775.39,22.09
2024-12-13,Organic,Summer Sale,3434.47,49196,3802,20,6587.21,4002.65,-24.75,171.72
2025-01-20,Twitter,Black Friday,1180.67,69901,365,70,1931.35,790.57,-3.38,16.87
2025-03-07,Google Ads,New Product,2143.92,26836,4039,76,4282.15,1640.84,23.2,28.21
2024-07-13,Google Ads,New Product,2808.86,95090,1151,76,9540.42,1817.77,174.94,36.96
2024-07-15,Twitter,Summer Sale,4448.53,22663,580,3,5840.77,2952.24,-35.07,1482.84
2025-02-18,Instagram,Brand Awareness,1664.05,6951,2452,39,9124.1,3953.87,210.7,42.67
2024-07-05,Instagram,Holiday Discount,711.11,16175,1909,99,15198.2,1169.44,1872.8,7.18
2024-08-30,Email,Holiday Discount,2471.9,12027,4807,83,8470.7,1044.8,200.41,29.78
2024-09-07,Email,New Product,3746.27,76630,1269,45,4020.25,1125.07,-22.72,83.25
2025-04-22,Twitter,Black Friday,593.81,89617,4272,68,7223.56,1920.43,793.07,8.73
2025-02-25,Affiliate,Black Friday,2152.18,13167,4494,31,14885.33,2684.81,466.89,69.43
2025-02-24,Organic,Brand Awareness,138.04,75305,1816,38,8538.84,86.96,6022.78,3.63
2024-07-29,Facebook,Black Friday,216.12,24060,1117,97,5065.8,3905.88,436.7,2.23
2025-03-22,Twitter,Holiday Discount,2440.62,67556,777,6,8605.49,4635.05,62.68,406.77
2024-07-16,Google Ads,Black Friday,1526.08,78381,293,8,9150.65,4220.73,223.04,190.76
2024-10-06,Google Ads,Brand Awareness,4233.28,11485,1835,28,5997.91,205.18,36.84,151.19
2024-06-30,Twitter,Holiday Discount,3030.66,74450,761,15,19914.13,2632.03,470.24,202.04
2025-01-13,Facebook,Black Friday,2296.97,9802,2943,95,15375.76,4073.86,392.04,24.18
2025-03-15,Google Ads,Holiday Discount,2069.28,34314,3200,8,13879.85,1733.69,486.98,258.66
2025-04-25,Google Ads,New Product,2511.37,49298,4231,54,17111.85,4487.25,402.7,46.51
2025-05-29,Twitter,New Product,250.17,20565,1558,6,13361.74,4436.66,3467.61,41.7
2024-08-07,Instagram,New Product,4469.33,94153,320,29,15840.51,725.69,238.19,154.11
2024-07-14,Email,Black Friday,4991.6,92145,1847,34,8309.26,2478.28,16.82,146.81
2025-03-31,Google Ads,Brand Awareness,948.36,45233,2610,7,10057.4,147.82,944.92,135.48
2024-07-14,Organic,Holiday Discount,645.9,86907,3610,40,1035.23,1423.66,-160.14,16.15
2024-06-15,Organic,Summer Sale,760.71,49384,4053,74,5684.86,4063.13,113.19,10.28
2024-07-06,Facebook,New Product,3322.08,53485,2227,13,7423.45,4876.2,-23.32,255.54
2024-09-05,Facebook,New Product,3324.13,85660,887,62,12546.86,4568.35,140.02,53.62
2024-06-03,Google Ads,Summer Sale,4247.22,79253,2867,86,9337.8,232.05,114.39,49.39
2024-10-13,Affiliate,Summer Sale,3771.54,63970,3764,85,12195.98,4635.12,100.47,44.37
2024-09-02,Email,Black Friday,2275.96,38669,3128,65,14295.21,4116.79,347.21,35.01
2024-07-18,Twitter,Holiday Discount,3083.63,27272,2949,41,950.1,4341.16,-209.97,75.21
2024-08-17,Facebook,New Product,3457.01,12842,1826,42,5239.73,4575.84,-80.8,82.31
2024-08-12,Organic,Brand Awareness,2588.05,65099,1700,66,3500.99,2451.14,-59.43,39.21
2024-10-29,Organic,Black Friday,2404.47,3082,2998,93,3830.36,1071.87,14.72,25.85
2024-12-16,Email,Black Friday,3243.23,54804,2570,11,10112.2,124.7,207.95,294.84
2025-05-25,Affiliate,Brand Awareness,2809.5,27261,2435,50,14825.58,137.27,422.81,56.19
2024-06-25,Facebook,Brand Awareness,3237.51,87506,4464,71,5528.26,3219.71,-28.69,45.6
2025-03-13,Google Ads,Brand Awareness,3083.63,10795,2818,35,16506.54,1699.65,380.18,88.1
2025-03-29,Email,Summer Sale,3610.02,46309,4288,94,17859.88,2489.57,325.77,38.4
2025-01-18,Organic,New Product,3231.88,62456,2754,80,7075.62,674.05,98.08,40.4
2025-03-02,Instagram,Summer Sale,2622.73,99564,1222,79,13659.0,4878.06,234.8,33.2
